id,URL,Nome,Informação,Classificação_da_água,Coordenadas,Nome da Praia,Região,Concelho,Categoria,Qualidade da água,Vigilancia,Posto de socorro,Sanitarios,Duche,Recolha lixo,Limpeza praia,Painel informativo,Apoio balnear,Apoio à praia,Estacionamento,Bandeira Azul,Acessível,Cadeira anfíbia,Ondas especiais,Obras em curso,Risco de derrocada
9724179996,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724179996,Fajã Grande,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 julho a 31 agosto",Excelente,"39.45941,-31.26206",Fajã Grande,AÇORES,LAJES DAS FLORES,Praia Costeira,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
9724180082,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180082,Santa Cruz das Flores,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"39.45856,-31.12582",Santa Cruz das Flores,AÇORES,SANTA CRUZ DAS FLORES,Praia Costeira,Água adequada a banhos,Não,Não,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não
11176112000,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/11176112000,Calhetas da Maia,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.83519,-25.39166",Calhetas da Maia,AÇORES,RIBEIRA GRANDE,Praia Costeira,Água adequada a banhos,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não
9724180024,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180024,Cais Mourato,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"38.55868,-28.48143",Cais Mourato,AÇORES,MADALENA,Praia Costeira,Água adequada a banhos,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
9724180074,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180074,Piscina do Carapacho,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"39.01256,-27.9591",Piscina do Carapacho,AÇORES,SANTA CRUZ DA GRACIOSA,Praia Costeira,Água adequada a banhos,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
9724180044,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180044,Ribeira dos Pelames,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Boa,"37.74692,-25.24925",Ribeira dos Pelames,AÇORES,POVOAÇÃO,Praia Costeira,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
10146368800,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/10146368800,Baixa da Areia,"Época Balnear 2025, estado : Não iniciou, calendario : de 5 julho a 27 setembro",Excelente,"37.717217,-25.518831",Baixa da Areia,AÇORES,LAGOA,Praia Costeira,Água adequada a banhos,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Sim
9724180032,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180032,Forno da Cal,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.74456,-25.64004",Forno da Cal,AÇORES,PONTA DELGADA,Praia Costeira,Água adequada a banhos,Sim,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não
9724180110,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180110,Vinha da Areia,"Época Balnear 2025, estado : Não iniciou, calendario : de 13 junho a 14 setembro",Excelente,"37.71679,-25.42609",Vinha da Areia,AÇORES,VILA FRANCA DO CAMPO,Praia Costeira,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
9724179992,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724179992,Piscinas Naturais da Lagoa,"Época Balnear 2025, estado : Não iniciou, calendario : de 7 junho a 7 setembro",Excelente,"37.74169,-25.57408",Piscinas Naturais da Lagoa,AÇORES,LAGOA,Praia Costeira,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
