id,URL,Nome,Informação,Classificação_da_água,Coordenadas
9724180206,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180206,Clube Naval de São Vicente,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"32.81315,-17.03299"
9724180200,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180200,Fajã dos Padres,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"32.65428,-17.0224"
9724180192,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180192,Porto Santo - Calheta,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"33.02444,-16.37667"
9724180188,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180188,Porto Santo - Ribeiro Cochino,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"33.04917,-16.34472"
9724180142,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180142,Clube Naval do Funchal,"Época Balnear 2025, estado : Não iniciou, calendario : de 9 junho a 14 setembro",Excelente,"32.63472,-16.93889"
9724180148,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180148,Poças do Gomes - Doca do Cavacas,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 14 setembro",Má,"32.63561,-16.94797"
9724180214,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180214,São Fernando,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"32.68596,-16.79235"
9724180172,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180172,Porto do Seixal,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"32.82216,-17.1028"
9724180156,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180156,S. Roque,"Época Balnear 2025, estado : Não iniciou, calendario : de 25 junho a 28 setembro",Boa,"32.71625,-16.7642"
9724180134,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180134,Santiago,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 14 setembro",Excelente,"32.64651,-16.89919"
11176112008,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/11176112008,Clube Turismo,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"32.636314,-16.929125"
9724180042,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180042,Portinho do Faial da Terra,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"37.73928,-25.19649"
8979630828,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630828,Praia Fluvial Arq. Albino Mendo,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 julho a 14 setembro",Excelente,"41.48806,-7.18722"
10146368836,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/10146368836,Ponte do Bico,"Época Balnear 2025, estado : Não iniciou, calendario : de 14 junho a 14 setembro",Excelente,"41.60541,-8.43105"
8979629842,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979629842,Quintas,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 julho a 14 setembro",Boa,"41.59639,-7.16417"
8979630514,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630514,Merelim S. Paio,"Época Balnear 2025, estado : Não iniciou, calendario : de 14 junho a 14 setembro",Boa,"41.59411,-8.46458"
8979630368,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630368,Adaúfe,"Época Balnear 2025, estado : Não iniciou, calendario : de 14 junho a 14 setembro",Excelente,"41.608842,-8.405048"
8979630446,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630446,Vale Juncal,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 julho a 14 setembro",Aceitável,"41.53333,-7.18417"
9724180020,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180020,Pocinho,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"38.4956,-28.53963"
9724179968,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724179968,Baía do Refugo,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"38.64665,-27.11282"
9724180092,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180092,Poça dos Frades,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"38.67794,-28.20819"
9724179980,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724179980,Varadouro,"Época Balnear 2025, estado : Não iniciou, calendario : de 7 julho a 14 setembro",Excelente,"38.56427,-28.77529"
9724180100,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180100,Anjos,"Época Balnear 2025, estado : Não iniciou, calendario : de 16 junho a 15 setembro",Excelente,"37.00504,-25.15733"
9724180064,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180064,Prainha (Praia da Vitória),"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 30 setembro",Excelente,"38.73093,-27.05524"
9724179966,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724179966,Silveira,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"38.65634,-27.23595"
9724180066,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180066,Calhetas,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.82435,-25.60632"
9724180060,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180060,Escaleiras,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 30 setembro",Excelente,"38.78729,-27.13564"
9724180008,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180008,Santa Cruz das Ribeiras,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"38.404351,-28.186939"
9724179996,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724179996,Fajã Grande,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 julho a 31 agosto",Excelente,"39.45941,-31.26206"
9724180082,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180082,Santa Cruz das Flores,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"39.45856,-31.12582"
11176112000,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/11176112000,Calhetas da Maia,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.83519,-25.39166"
9724180024,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180024,Cais Mourato,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"38.55868,-28.48143"
9724180074,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180074,Piscina do Carapacho,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"39.01256,-27.9591"
9724180044,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180044,Ribeira dos Pelames,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Boa,"37.74692,-25.24925"
10146368800,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/10146368800,Baixa da Areia,"Época Balnear 2025, estado : Não iniciou, calendario : de 5 julho a 27 setembro",Excelente,"37.717217,-25.518831"
9724180032,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180032,Forno da Cal,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.74456,-25.64004"
9724180110,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180110,Vinha da Areia,"Época Balnear 2025, estado : Não iniciou, calendario : de 13 junho a 14 setembro",Excelente,"37.71679,-25.42609"
9724179992,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724179992,Piscinas Naturais da Lagoa,"Época Balnear 2025, estado : Não iniciou, calendario : de 7 junho a 7 setembro",Excelente,"37.74169,-25.57408"
9724180022,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180022,Madalena,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 30 setembro",Excelente,"38.53401,-28.53449"
9724180028,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180028,Milícias,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.75064,-25.62527"
9724180102,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180102,Prainha de Água d'Alto,"Época Balnear 2025, estado : Não iniciou, calendario : de 13 junho a 14 setembro",Excelente,"37.71824,-25.48164"
10146368802,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/10146368802,Caisinho,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"38.4567,-28.15156"
9724180096,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180096,São Lourenço,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 14 setembro",Excelente,"36.98803,-25.05407"
9724180106,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180106,Água d'Alto,"Época Balnear 2025, estado : Não iniciou, calendario : de 13 junho a 14 setembro",Excelente,"37.71662,-25.47353"
9724180012,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180012,Baixas,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"38.41854,-28.38513"
10686881394,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/10686881394,Porto da Baixa,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"38.44569,-28.07857"
9724180046,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180046,Morro,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"37.745905,-25.242691"
9724180036,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180036,Pópulo,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.75012,-25.61818"
9724180094,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180094,Formosa,"Época Balnear 2025, estado : Não iniciou, calendario : de 16 junho a 15 setembro",Excelente,"36.95101,-25.098"
9724180070,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180070,Poças da Ribeira Grande,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.826873,-25.522421"
9724180010,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180010,Verdoso,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"38.413552,-28.339961"
9724180002,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180002,Clube Naval das Lajes,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"38.398302,-28.253598"
9724180056,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180056,Sargentos,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 30 setembro",Excelente,"38.72594,-27.06162"
9724179990,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724179990,Conceição,"Época Balnear 2025, estado : Não iniciou, calendario : de 16 junho a 31 agosto",Excelente,"38.54286,-28.61906"
9724180076,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180076,Zona Balnear Santa Cruz (Calheta),"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"39.08775,-28.00856"
9724179972,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724179972,Salga,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"38.64833,-27.0976"
11176111998,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/11176111998,Caminho de Baixo (Santa Bárbara),"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Sem classificação,"38.39403,-28.2047"
9724180026,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180026,Piscina Natural das Portas do Mar,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.73963,-25.66114"
10686881396,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/10686881396,Prainha do Galeão,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"38.42679,-28.42102"
9724179978,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724179978,Corvo/Areia,"Época Balnear 2025, estado : Não iniciou, calendario : de 20 junho a 30 setembro",Excelente,"39.67262,-31.12188"
9724180006,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180006,Manhenha,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"38.410836,-28.036597"
9724180078,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180078,Praia,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"39.051119,-27.970935"
9724180088,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180088,Piscina do Cais,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"38.52455,-28.31659"
9724179998,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724179998,Lajes (Maré),"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"38.39094,-28.25182"
10146368808,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/10146368808,Poça das Mujas,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"38.39962,-28.08311"
9724180000,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180000,Calhau,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"38.438984,-28.05558"
10146368806,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/10146368806,Poça Branca,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"38.47778,-28.20528"
9724180080,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180080,Barro Vermelho,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"39.05112,-27.97094"
9724180030,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180030,Poços de São Vicente Ferreira/Capelas,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.83467,-25.66938"
9724179994,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724179994,Caloura,"Época Balnear 2025, estado : Não iniciou, calendario : de 7 junho a 27 setembro",Excelente,"37.7133,-25.49565"
10146368804,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/10146368804,Calheta dos Lagadores,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 30 setembro",Excelente,"38.79975,-27.24596"
9724180058,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180058,Praia da Riviera,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 30 setembro",Excelente,"38.71483,-27.06057"
10686881398,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/10686881398,Poceirões,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"39.07631,-28.06332"
10146368810,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/10146368810,Pontes,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"38.40733,-28.15955"
9724180004,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180004,Fonte,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"38.41225,-28.289373"
9724179962,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724179962,Prainha (Angra do Heroísmo),"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Boa,"38.65357,-27.22006"
9724180086,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180086,Furna de Santo António,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"38.53558,-28.33561"
10146368798,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/10146368798,Arcos,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"38.56032,-28.40876"
9724179988,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724179988,Castelo Branco,"Época Balnear 2025, estado : Não iniciou, calendario : de 7 julho a 14 setembro",Excelente,"38.5184,-28.72611"
9724179982,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724179982,Fajã,"Época Balnear 2025, estado : Não iniciou, calendario : de 16 junho a 31 agosto",Excelente,"38.6102,-28.75601"
9724180084,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180084,Poças de São Roque,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"38.51935,-28.30497"
