id,Nome da Praia,Região,Concelho,Categoria,Qualidade da água,Vigilancia,Posto de socorro,Sanitarios,Duche,Recolha lixo,Limpeza praia,Painel informativo,Apoio balnear,Apoio à praia,Estacionamento,Bandeira Azul,Acessível,Cadeira anfíbia,Ondas especiais,Obras em curso,Risco de derrocada
8979630374,S. Lourenço,TEJO,MAFRA,Praia Costeira,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim
8979630046,Praia do Mar,TEJO,CALDAS DA RAINHA,Praia Costeira,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim
8979630862,Poço do Lagar,CENTRO,SEIA,Praia Interior,Água adequada a banhos,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não
10146368820,Peneda Talhada,CENTRO,ARGANIL,Praia Interior,Água adequada a banhos,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não
8979629824,Grande de Porto Covo,ALENTEJO,SINES,Praia Costeira,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim
8979630344,Morgavel,ALENTEJO,SINES,Praia Costeira,Água adequada a banhos,Sim,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Não
9632354760,Cinco Reis,ALENTEJO,BEJA,Praia Interior,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
8979630452,Praia Fluvial de Monsaraz,ALENTEJO,REGUENGOS DE MONSARAZ,Praia Interior,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
10146368812,Área Recreativa e de Lazer das Azenhas D'El Rei,ALENTEJO,ALANDROAL,Praia Interior,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
8979630138,Quinta do Barco,CENTRO,SEVER DO VOUGA,Praia Interior,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
8979630496,Ouro,ALENTEJO,SESIMBRA,Praia Costeira,Água adequada a banhos,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim
8979630322,Palheiros e Zorro,CENTRO,COIMBRA,Praia Interior,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
8979629822,Sandomil,CENTRO,SEIA,Praia Interior,Água adequada a banhos,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
11700071936,Folques,CENTRO,ARGANIL,Praia Interior,Água adequada a banhos,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
8979630868,Vale de Janelas,TEJO,ÓBIDOS,Praia Costeira,Água adequada a banhos,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim
8979630278,Louçaínha,CENTRO,PENELA,Praia Interior,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
8979630606,Melides,ALENTEJO,GRÂNDOLA,Praia Costeira,Água adequada a banhos,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
8979630092,Bom Sucesso,TEJO,ÓBIDOS,Praia Costeira,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
8979630694,Comporta,ALENTEJO,GRÂNDOLA,Praia Costeira,Água adequada a banhos,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
8979630746,Foz Lizandro - Rio,TEJO,MAFRA,Praia Interior,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
8979630826,Praia Nova,TEJO,ALMADA,Praia Costeira,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não
8979630262,Côja,CENTRO,ARGANIL,Praia Interior,Água adequada a banhos,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
8979630184,Aldeia Viçosa,CENTRO,GUARDA,Praia Interior,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
8979630774,Vieira,CENTRO,MARINHA GRANDE,Praia Costeira,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Não
8979630818,Rainha (Almada),TEJO,ALMADA,Praia Costeira,Água adequada a banhos,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
8979630128,Vimieiro,CENTRO,PENACOVA,Praia Interior,Água adequada a banhos,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
8979630186,Aberta Nova,ALENTEJO,GRÂNDOLA,Praia Costeira,Água adequada a banhos,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não
8979630108,Pontemieiro,CENTRO,VALE DE CAMBRA,Praia Interior,Água adequada a banhos,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
8979629960,Ilha do Pessegueiro,ALENTEJO,SINES,Praia Costeira,Água adequada a banhos,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Sim
10146368818,Moinho de Alva,CENTRO,ARGANIL,Praia Interior,Água adequada a banhos,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não
8979630156,D. Ana,ALGARVE,LAGOS,Praia Costeira,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
8979630326,Carvalhal,ALENTEJO,GRÂNDOLA,Praia Costeira,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
8979630234,Reconquinho,CENTRO,PENACOVA,Praia Interior,Água adequada a banhos,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
8979630260,Coxos,TEJO,MAFRA,Praia Costeira,Água adequada a banhos,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim
8979630708,Rei do Cortiço,TEJO,ÓBIDOS,Praia Costeira,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
8979630078,Ribeira ou dos Pescadores,TEJO,MAFRA,Praia Costeira,Água adequada a banhos,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
8979629886,Almograve Sul,ALENTEJO,ODEMIRA,Praia Costeira,Água adequada a banhos,Sim,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Sim
8979630612,Benfeita,CENTRO,ARGANIL,Praia Interior,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não
9632354758,Ronqueira,CENTRO,TÁBUA,Praia Interior,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Não
8979630594,Agroal (Arganil),CENTRO,ARGANIL,Praia Interior,Água adequada a banhos,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
8979630668,Mamoa,CENTRO,SANTA MARIA DA FEIRA,Praia Interior,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
8979630524,Burgães - Rio Caima,CENTRO,VALE DE CAMBRA,Praia Interior,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
8979630044,Galé - Fontaínhas,ALENTEJO,GRÂNDOLA,Praia Costeira,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não
8979630664,Castelo (Almada),TEJO,ALMADA,Praia Costeira,Água adequada a banhos,Sim,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
8979630758,Foz D'Égua,CENTRO,ARGANIL,Praia Interior,Água adequada a banhos,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não
8979630504,Ribeira de Ilhas,TEJO,MAFRA,Praia Costeira,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim
10146368826,Urtigal,CENTRO,ARGANIL,Praia Interior,Água adequada a banhos,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não
